date	SBER	SBERP	GAZP	LKOH	MGNT	SNGS	SNGSP	GMKN	ROSN	VTBR	TATNP	TRNFP	MTSS	ALRS	MOEX	CHMF	POLY	BANE	BANEP	AFKS	RTKMP	NLMK	HYDR	PHOR	MFON	PIKK	URKA	FEES	AFLT	MAGN	RUAL	UPRO	LSRG	MVID	LNTA	AGRO	DIXY	RSTI	NKNC	CBOM	VSMO	GCHE	MICEX	MIACR	USDCB	USDTOD
05.01.1999				84		1,525																																					45,6	32	20,65	
06.01.1999				86,3		1,554																																					46,79	32	20,65	
10.01.1999			2,64	91,95		1,638	0,37																																				49,72	32	21,91	
11.01.1999			2,685	90		1,6	0,395																																				49,6	30	22,4	
12.01.1999			2,6	90,5		1,601	0,419																																				48,07	30	23,06	
13.01.1999			2,319	82		1,47	0,365																																				44,84	30	22,58	
14.01.1999			2,39	84,4		1,525	0,39																																				43,42	29	21,8	
15.01.1999			2,357	82		1,515	0,38																																				42,33	24	21,45	
18.01.1999			2,405	83,99		1,58	0,4																																				43,61	24	21,88	
19.01.1999			2,372	85,6		1,61	0,41																																				44,36	29	22,37	
20.01.1999			2,374	88,1		1,698	0,43																																				45,24	30	22,98	
21.01.1999			2,393	88,2		1,736	0,44																																				45,83	51,96	22,39	
22.01.1999			2,42	88,7		1,72	0,42																																				44,46	15	22,73	
25.01.1999			2,366	85		1,7	0,42																																				44,54	26	22,75	
26.01.1999			2,38	86,3		1,666	0,43																																				44,59	28	22,95	
27.01.1999			2,33	84,2		1,651	0,43																																				44,16	26	22,82	
28.01.1999			2,356	83,76		1,645	0,43																																				43,94	26,33	22,67	
29.01.1999			2,429	85,6		1,67	0,43																																				44,51	21,8	22,77	
01.02.1999			2,651	85,15		1,63	0,43																																				44,73	28,64	22,6	
02.02.1999			2,488	84		1,62	0,44																																				44,73	22,03	22,77	
03.02.1999			2,652	85,2		1,635	0,45																																				45,04	23,36	22,92	
04.02.1999			2,792	85,3		1,705	0,45																																				45,47	20,03	23,12	
05.02.1999			2,93	84,4		1,712	0,46																																				45,05	11,4	23,14	
08.02.1999			3,075	85,8		1,74	0,47																																				45,64	24,9	23,12	
09.02.1999			2,9	90		1,8	0,47																																				47,03	27,41	23,05	
10.02.1999			3,25	98,11		1,925	0,49																																				50,59	25,01	22,9	
11.02.1999			3,569	105,5		2,25	0,55																																				54,1	24,93	22,76	
12.02.1999			3,48	102,6		2,091	0,52																																				53,59	23,77	22,79	
15.02.1999			3,22	100		2,046	0,51																																				52,91	25,38	22,89	
16.02.1999			3,44	106,9		2,2	0,54																																				55,11	25,92	22,84	
17.02.1999			3,332	105,2		2,15	0,52																																				57,68	10,06	23,11	
18.02.1999			3,4	110		2,16	0,545																																				58,35	10,73	22,87	
19.02.1999			3,535	116,3		2,26	0,571																																				61,13	16,72	22,92	
22.02.1999			3,64	131		2,41	0,609																																				70,36	15,94	22,84	
23.02.1999			3,8	129		2,395	0,62																																				68,8	16	22,84	
24.02.1999			3,77	131,11		2,42	0,605																																				68,39	23	22,8	
25.02.1999			3,628	121		2,27	0,6																																				68,27	20,58	22,82	
26.02.1999			3,5	120		2,265	0,57																																				62,44	11,26	22,84	
01.03.1999			3,514	131		2,34	0,599																																				66,66	13,97	22,86	
02.03.1999			3,526	135,49001		2,421	0,63																																				70,28	22,34	22,89	
03.03.1999			3,305	127,3		2,375	0,586																																				67,44	20,85	22,89	
04.03.1999			3,345	123		2,225	0,58																																				65,32	21,61	22,93	
05.03.1999			3,412	127		2,4	0,6																																				66,74	13,28	23,01	
09.03.1999			3,388	129,35001		2,36	0,605																																				67,93	14,31	23,09	
10.03.1999			3,502	137		2,44	0,625																																				70,08	9,68	23,03	
11.03.1999			3,795	155		2,64	0,685																																				77,61	16,67	22,98	
12.03.1999			3,63	157,5		2,74	0,71																																				79,3	13,4	23,04	
15.03.1999			3,63	161,8		2,81	0,744																																				79,96	18,94	23,12	
16.03.1999			3,72	167		3	0,84																																				82,55	31,92	23,26	
17.03.1999			3,687	176,3		3,2	0,925																																				87,25	19,85	23,35	
18.03.1999			3,67	172,5		3,269	1,023																																				87,61	17,18	23,41	
